,Start,End,DeltaBz,Duration
302,2018-08-27 09:26:40.750,2018-08-27 09:26:52.250,5.2904067,11.5
303,2018-08-27 09:31:51.250,2018-08-27 09:32:16.250,9.611721,25.0
304,2018-08-27 09:40:12.250,2018-08-27 09:40:19.250,2.920028,7.0
305,2018-08-27 09:43:37.750,2018-08-27 09:43:41.250,3.4624527,3.5
306,2018-08-27 09:44:08.750,2018-08-27 09:44:11.250,2.5530114,2.5
307,2018-08-27 11:42:37.750,2018-08-27 11:42:41.250,7.63077,3.5
308,2018-08-27 12:14:47.250,2018-08-27 12:14:53.250,4.138281,6.0
309,2018-08-27 12:16:11.750,2018-08-27 12:16:14.750,4.6051497,3.0
310,2018-08-27 12:23:03.750,2018-08-27 12:23:06.250,-2.7494857,2.5
311,2018-08-27 13:05:47.250,2018-08-27 13:06:04.250,7.9687815,17.0
312,2018-08-27 13:31:15.250,2018-08-27 13:31:18.750,8.075301,3.5
313,2018-08-27 13:32:09.250,2018-08-27 13:32:12.750,4.654955,3.5
314,2018-08-27 13:35:44.750,2018-08-27 13:35:50.750,-8.9664345,6.0
315,2018-08-27 13:40:47.250,2018-08-27 13:40:49.250,4.9439516,2.0
316,2018-08-27 14:01:03.250,2018-08-27 14:01:06.750,-19.886818,3.5
317,2018-08-27 14:01:29.750,2018-08-27 14:01:37.750,8.676098,8.0
318,2018-08-27 14:03:47.250,2018-08-27 14:03:50.750,15.33177,3.5
319,2018-08-27 17:34:37.250,2018-08-27 17:34:47.250,5.7977867,10.0
320,2018-08-30 14:05:52.250,2018-08-30 14:05:55.750,-3.1651936,3.5
321,2018-08-30 14:15:26.250,2018-08-30 14:15:30.750,-4.2675333,4.5
322,2018-09-02 15:38:47.750,2018-09-02 15:39:06.750,3.2205293,19.0
323,2018-09-02 15:39:54.250,2018-09-02 15:39:56.750,1.7188108,2.5
324,2018-09-02 16:54:36.250,2018-09-02 16:54:39.250,5.4233546,3.0
325,2018-09-02 17:02:25.750,2018-09-02 17:02:31.750,-3.888246,6.0
326,2018-09-05 10:09:10.250,2018-09-05 10:09:30.250,7.537359,20.0
327,2018-09-05 10:45:59.250,2018-09-05 10:46:12.750,7.4021463,13.5
328,2018-09-05 10:48:17.750,2018-09-05 10:48:22.250,6.813836,4.5
329,2018-09-05 10:51:47.250,2018-09-05 10:51:49.250,2.5177789,2.0
330,2018-09-05 10:54:04.750,2018-09-05 10:54:06.750,5.32415,2.0
